Category,Variants (n),Conservative,Default,Expanded
Technical outerwear combined,4178,10.531354715174725,19.698420296792722,20.966969842029677
Outerwear coats,638,25.54858934169279,42.63322884012539,42.63322884012539
Outerwear jackets,2978,7.756883814640698,16.08462055070517,17.259905977165882
Outerwear gilets,562,8.185053380782918,12.811387900355871,16.014234875444842
