rule,setting,match,n
R7b_hidden_layer_mismatch,expanded,shell[elastane+nylon]__padding[polyester],19
R7b_hidden_layer_mismatch,expanded,body[cotton]__hood_lining[polyester],16
R7b_hidden_layer_mismatch,expanded,coating[polyurethane]__padding[polyester],16
R7b_hidden_layer_mismatch,expanded,shell[cotton+lyocell]__lining[polyester],16
R7b_hidden_layer_mismatch,expanded,shell[elastane+polyester+viscose]__lining[cotton],16
R7b_hidden_layer_mismatch,expanded,shell[metallised_fibre+viscose]__lining[polyester],16
R7b_hidden_layer_mismatch,expanded,shell[nylon]__filling[polyester],14
R7b_hidden_layer_mismatch,expanded,pocket_lining[cotton]__hood_lining[polyester],13
R7b_hidden_layer_mismatch,expanded,shell[cotton+viscose]__lining[polyester],13
R7b_hidden_layer_mismatch,expanded,shell[elastane+polyester]__lining[cotton],13
R7b_hidden_layer_mismatch,expanded,shell[elastomultiester+polyester]__body_filling[down],13
R7b_hidden_layer_mismatch,expanded,shell[nylon]__padding[reprocessed down],13
R7b_hidden_layer_mismatch,expanded,body[cotton+elastane]__cup_lining[polyester],12
R7b_hidden_layer_mismatch,expanded,front_panel[elastane+nylon]__cup_lining[polyester],12
R7b_hidden_layer_mismatch,expanded,shell[polyester+viscose]__lining[cotton],12
R7b_hidden_layer_mismatch,expanded,shell[polyester]__hood_lining[cotton],12
R7b_hidden_layer_mismatch,expanded,main[nylon]__padding[polyester],11
R7b_hidden_layer_mismatch,expanded,shell[cotton+linen+viscose]__lining[polyester],11
R7b_hidden_layer_mismatch,expanded,shell[cotton+nylon]__filling[polyester],11
R7b_hidden_layer_mismatch,expanded,shell[cotton]__lining[viscose],11
R7b_hidden_layer_mismatch,expanded,shell[lamb leather]__lining[viscose],11
R7b_hidden_layer_mismatch,expanded,shell[cotton+elastane+nylon+viscose]__cup_lining[polyester],10
R7b_hidden_layer_mismatch,expanded,shell[cotton+nylon+viscose]__lining[polyester],10
R7b_hidden_layer_mismatch,expanded,shell[linen]__body_lining[polyester],10
R7b_hidden_layer_mismatch,expanded,shell[cotton+nylon]__padding[polyester],9
R7b_hidden_layer_mismatch,expanded,shell[cotton+polyester]__lining[viscose],9
R7b_hidden_layer_mismatch,expanded,shell[cotton]__inner_layer[polyester],9
R7b_hidden_layer_mismatch,expanded,shell[elastane+nylon+polyester]__lining[cotton],9
R7b_hidden_layer_mismatch,expanded,shell[elastane+nylon]__inner_layer[polyester],9
R7b_hidden_layer_mismatch,expanded,shell[elastane+polyester+wool]__lining[viscose],9
R7b_hidden_layer_mismatch,expanded,shell[leather]__lining[polyester],9
R7b_hidden_layer_mismatch,expanded,shell[lyocell+nylon]__lining[cotton],9
R7b_hidden_layer_mismatch,expanded,shell[sheep leather]__lining[viscose],9
R7b_hidden_layer_mismatch,expanded,body[elastane+nylon]__lining[polyester],8
R7b_hidden_layer_mismatch,expanded,body[linen+polyester+viscose]__petticoat[elastomultiester],8
R7b_hidden_layer_mismatch,expanded,main[elastane+nylon]__cup_lining[polyester],8
R7b_hidden_layer_mismatch,expanded,shell[cotton+elastane+nylon]__lining[polyester],8
R7b_hidden_layer_mismatch,expanded,shell[leather]__lining[viscose],8
R7b_hidden_layer_mismatch,expanded,shell[wool]__lining[polyester],8
R7b_hidden_layer_mismatch,expanded,body[cotton+elastane+nylon]__cup_lining[polyester],7
R7b_hidden_layer_mismatch,expanded,face[polyester]__lining[nylon],7
R7b_hidden_layer_mismatch,expanded,lace[elastane+nylon]__lining[cotton],7
R7b_hidden_layer_mismatch,expanded,shell[elastane+metallised_fibre+nylon]__lining[polyester],7
R7b_hidden_layer_mismatch,expanded,shell[metallised_fibre+nylon]__lining[polyester],7
R7b_hidden_layer_mismatch,expanded,shell[polyester]__upper_body_filling[down - recycled down],7
R7b_hidden_layer_mismatch,expanded,body[polyester]__petticoat[elastomultiester],6
R7b_hidden_layer_mismatch,expanded,main[elastane+nylon]__lining[cotton],6
R7b_hidden_layer_mismatch,expanded,main[polyester]__lining[cotton],6
R7b_hidden_layer_mismatch,expanded,shell[cotton+linen]__sleeve_lining[polyester],6
R7b_hidden_layer_mismatch,expanded,shell[elastane+polyester+wool]__lining[cotton],6
R7b_hidden_layer_mismatch,expanded,shell[linen+lyocell+nylon]__lining[cotton],6
R7b_hidden_layer_mismatch,expanded,main[elastane+polyester+wool]__lining[cotton],5
R7b_hidden_layer_mismatch,expanded,padding[reprocessed down+reprocessed feather]__lining[nylon],5
R7b_hidden_layer_mismatch,expanded,shell[cotton+elastane]__body_lining[polyester],5
R7b_hidden_layer_mismatch,expanded,shell[cow leather]__lining[viscose],5
R7b_hidden_layer_mismatch,expanded,shell[elastane+elastomultiester+polyester]__lining[cotton],5
R7b_hidden_layer_mismatch,expanded,shell[elastane+polyester]__lining[viscose],5
R7b_hidden_layer_mismatch,expanded,shell[elastane+polyester]__padding[reprocessed down],5
R7b_hidden_layer_mismatch,expanded,shell[elastomultiester+polyester]__filling[down],5
R7b_hidden_layer_mismatch,expanded,shell[linen]__lining[viscose],5
R7b_hidden_layer_mismatch,expanded,shell[lyocell]__lining[cotton],5
R7b_hidden_layer_mismatch,expanded,shell[nylon+wool]__lining[viscose],5
R7b_hidden_layer_mismatch,expanded,shell[polyester+unspecified_material+wool]__lining[viscose],5
R7b_hidden_layer_mismatch,expanded,shell[polyester+viscose]__lining[nylon],5
R7b_hidden_layer_mismatch,expanded,shell[polyester]__inner_layer[elastane],5
R7b_hidden_layer_mismatch,expanded,shell[polyester]__padding[reprocessed down],5
R7b_hidden_layer_mismatch,expanded,shell[silk]__lining[viscose],5
R7b_hidden_layer_mismatch,expanded,body[polyester+viscose]__lining[nylon],4
R7b_hidden_layer_mismatch,expanded,face[cotton+nylon]__filling[polyester],4
R7b_hidden_layer_mismatch,expanded,face[nylon]__body_filling[down],4
R7b_hidden_layer_mismatch,expanded,main[cotton+elastane]__lining[polyester],4
R7b_hidden_layer_mismatch,expanded,main[cotton]__lining[polyester],4
R7b_hidden_layer_mismatch,expanded,main[elastane+polyester]__lining[cotton],4
R7b_hidden_layer_mismatch,expanded,main[linen+viscose]__lining[polyester],4
R7b_hidden_layer_mismatch,expanded,shell[acetate+wool]__lining[polyester],4
R7b_hidden_layer_mismatch,expanded,shell[acrylic+elastane+nylon+viscose]__front_body_lining[polyester],4
R7b_hidden_layer_mismatch,expanded,shell[cotton+elastane+elastomultiester]__lining[polyester],4
R7b_hidden_layer_mismatch,expanded,shell[cotton+elastane]__sleeve_lining[polyester],4
R7b_hidden_layer_mismatch,expanded,shell[cotton+lyocell]__padding[polyester],4
R7b_hidden_layer_mismatch,expanded,shell[elastane+metallised_fibre+nylon]__lining[cotton],4
R7b_hidden_layer_mismatch,expanded,shell[elastane+polyester+wool]__body_lining[viscose],4
R7b_hidden_layer_mismatch,expanded,shell[elastane+viscose]__inner_layer[polyester],4
R7b_hidden_layer_mismatch,expanded,shell[elastomultiester]__body_filling[down],4
R7b_hidden_layer_mismatch,expanded,shell[goat suede]__lining[polyester],4
R7b_hidden_layer_mismatch,expanded,shell[linen+lyocell+nylon]__lining[polyester],4
R7b_hidden_layer_mismatch,expanded,shell[linen+lyocell]__lining[cotton],4
R7b_hidden_layer_mismatch,expanded,shell[linen+lyocell]__lining[polyester],4
R7b_hidden_layer_mismatch,expanded,shell[linen+lyocell]__sleeve_lining[polyester],4
R7b_hidden_layer_mismatch,expanded,shell[linen+nylon+viscose]__lining[polyester],4
R7b_hidden_layer_mismatch,expanded,shell[nylon+viscose]__sleeve_lining[polyester],4
R7b_hidden_layer_mismatch,expanded,shell[nylon]__filling[down],4
R7b_hidden_layer_mismatch,expanded,shell[nylon]__inner_layer[polyester],4
R7b_hidden_layer_mismatch,expanded,shell[polyester]__cup_lining[nylon],4
R7b_hidden_layer_mismatch,expanded,shell[sheep leather]__lining[cotton],4
R7b_hidden_layer_mismatch,expanded,shell[suede]__lining[polyester],4
R7b_hidden_layer_mismatch,expanded,body[elastane+nylon]__inner_pants[polyester],3
R7b_hidden_layer_mismatch,expanded,main[elastane+polyester+wool]__lining[acetate],3
R7b_hidden_layer_mismatch,expanded,main[leather]__lining[viscose],3
R7b_hidden_layer_mismatch,expanded,main[nylon]__padding[reprocessed down],3
R7b_hidden_layer_mismatch,expanded,main[polyester+wool]__lining[viscose],3
R7b_hidden_layer_mismatch,expanded,shell[acrylic+polyester+wool]__lining[viscose],3
R7b_hidden_layer_mismatch,expanded,shell[cotton+elastane+nylon]__cup_lining[polyester],3
R7b_hidden_layer_mismatch,expanded,shell[cotton+elastane+polyester]__lining[viscose],3
R7b_hidden_layer_mismatch,expanded,shell[cotton+elastane]__padding[polyester],3
R7b_hidden_layer_mismatch,expanded,shell[cotton+nylon]__lining[viscose],3
R7b_hidden_layer_mismatch,expanded,shell[cotton+nylon]__padding[reprocessed down],3
R7b_hidden_layer_mismatch,expanded,shell[cotton+polyester]__lining[nylon],3
R7b_hidden_layer_mismatch,expanded,shell[cotton+polyester]__sleeve_lining[viscose],3
R7b_hidden_layer_mismatch,expanded,shell[cotton]__filling[polyester],3
R7b_hidden_layer_mismatch,expanded,shell[cotton]__lining[elastane],3
R7b_hidden_layer_mismatch,expanded,shell[cow leather]__lining[polyester],3
R7b_hidden_layer_mismatch,expanded,shell[elastane+modal+nylon]__lining[cotton],3
R7b_hidden_layer_mismatch,expanded,shell[elastane+polyester+viscose]__lining[elastomultiester],3
R7b_hidden_layer_mismatch,expanded,shell[elastane+polyester+wool]__lining[acetate],3
R7b_hidden_layer_mismatch,expanded,shell[goat leather]__lining[polyester],3
R7b_hidden_layer_mismatch,expanded,shell[goat suede]__lining[viscose],3
R7b_hidden_layer_mismatch,expanded,shell[linen+lyocell+viscose]__lining[polyester],3
R7b_hidden_layer_mismatch,expanded,shell[linen+nylon+viscose]__lining[cotton],3
R7b_hidden_layer_mismatch,expanded,shell[lyocell+polyester]__lining[cotton],3
R7b_hidden_layer_mismatch,expanded,shell[lyocell]__lining[polyester],3
R7b_hidden_layer_mismatch,expanded,shell[nylon]__body_filling[down],3
R7b_hidden_layer_mismatch,expanded,shell[nylon]__lining[elastane],3
R7b_hidden_layer_mismatch,expanded,shell[polyester+wool]__body_lining[viscose],3
R7b_hidden_layer_mismatch,expanded,shell[polyester+wool]__lining[cotton],3
R7b_hidden_layer_mismatch,expanded,shell[polyester]__body_filling[down],3
R7b_hidden_layer_mismatch,expanded,shell[polyester]__body_filling[viscose],3
R7b_hidden_layer_mismatch,expanded,shell[polyurethane]__lining[polyester],3
R7b_hidden_layer_mismatch,expanded,shell[ramie]__lining[cotton],3
R7b_hidden_layer_mismatch,expanded,shell[sheep leather]__lining[polyester],3
R7b_hidden_layer_mismatch,expanded,shell[silk+viscose]__lining[polyester],3
R7b_hidden_layer_mismatch,expanded,shell[viscose]__lining[cotton],3
R7b_hidden_layer_mismatch,expanded,skirt[elastomultiester+polyester]__inner_pants[elastane],3
R7b_hidden_layer_mismatch,expanded,coating[polyurethane]__lining[cotton],2
R7b_hidden_layer_mismatch,expanded,main[cotton+elastane+linen]__lining[polyester],2
R7b_hidden_layer_mismatch,expanded,main[cotton+nylon]__lining[polyester],2
R7b_hidden_layer_mismatch,expanded,main[cotton+viscose]__lining[polyester],2
R7b_hidden_layer_mismatch,expanded,main[cotton]__padding[polyester],2
R7b_hidden_layer_mismatch,expanded,main[elastane+metallised_fibre+nylon]__lining[polyester],2
R7b_hidden_layer_mismatch,expanded,main[elastane+polyester]__lining[nylon],2
R7b_hidden_layer_mismatch,expanded,main[linen+polyester]__lining[cotton],2
R7b_hidden_layer_mismatch,expanded,main[nylon+polyester]__padding[down],2
R7b_hidden_layer_mismatch,expanded,main[nylon+viscose]__lining[cotton],2
R7b_hidden_layer_mismatch,expanded,main[nylon+wool]__body_lining[viscose],2
R7b_hidden_layer_mismatch,expanded,main[nylon+wool]__lining[acetate],2
R7b_hidden_layer_mismatch,expanded,main[polyester]__lining[elastane],2
R7b_hidden_layer_mismatch,expanded,main[polyester]__lining[viscose],2
R7b_hidden_layer_mismatch,expanded,main[viscose]__lining[polyester],2
R7b_hidden_layer_mismatch,expanded,main[wool]__lining[cotton],2
R7b_hidden_layer_mismatch,expanded,outer_layer[polyester+wool]__inner_layer[cotton],2
R7b_hidden_layer_mismatch,expanded,outer_layer[polyester]__inner_layer[nylon],2
R7b_hidden_layer_mismatch,expanded,padding[polyester]__lining[elastane],2
R7b_hidden_layer_mismatch,expanded,shell[cotton+elastane+viscose]__lining[polyester],2
R7b_hidden_layer_mismatch,expanded,shell[cotton+linen+nylon]__lining[polyester],2
R7b_hidden_layer_mismatch,expanded,shell[cotton+lyocell+nylon+viscose]__lining[polyester],2
R7b_hidden_layer_mismatch,expanded,shell[cotton+lyocell+nylon]__lining[polyester],2
R7b_hidden_layer_mismatch,expanded,shell[cotton+lyocell]__body_lining[polyester],2
R7b_hidden_layer_mismatch,expanded,shell[cotton+modal]__lining[polyester],2
R7b_hidden_layer_mismatch,expanded,shell[cotton+nylon]__sleeve_lining[polyester],2
R7b_hidden_layer_mismatch,expanded,shell[cotton+polyester]__sleeve_lining[nylon],2
R7b_hidden_layer_mismatch,expanded,shell[cotton+wool]__body_lining[polyester],2
R7b_hidden_layer_mismatch,expanded,shell[cotton+wool]__lining[viscose],2
R7b_hidden_layer_mismatch,expanded,shell[cotton]__body_lining[polyester],2
R7b_hidden_layer_mismatch,expanded,shell[elastane+lyocell+nylon+polyester+viscose]__lining[cotton],2
R7b_hidden_layer_mismatch,expanded,shell[elastane+metallised_fibre+nylon]__padding[polyester],2
R7b_hidden_layer_mismatch,expanded,shell[elastane+nylon+polyester+wool]__sleeve_lining[cotton],2
R7b_hidden_layer_mismatch,expanded,shell[elastane+nylon]__body_lining[polyester],2
R7b_hidden_layer_mismatch,expanded,shell[elastane+polyester]__padding[nylon],2
R7b_hidden_layer_mismatch,expanded,shell[elastane+viscose+wool]__lining[polyester],2
R7b_hidden_layer_mismatch,expanded,shell[lamb leather]__lining[cotton],2
R7b_hidden_layer_mismatch,expanded,shell[linen+lyocell]__lining[viscose],2
R7b_hidden_layer_mismatch,expanded,shell[linen+polyester+viscose]__lining[cotton],2
R7b_hidden_layer_mismatch,expanded,shell[linen+wool]__lining[polyester],2
R7b_hidden_layer_mismatch,expanded,shell[linen+wool]__lining[viscose],2
R7b_hidden_layer_mismatch,expanded,shell[lyocell+polyester]__lining[viscose],2
R7b_hidden_layer_mismatch,expanded,shell[nylon]__body_lining[polyester],2
R7b_hidden_layer_mismatch,expanded,shell[nylon]__lining[viscose],2
R7b_hidden_layer_mismatch,expanded,shell[nylon]__padding[down],2
R7b_hidden_layer_mismatch,expanded,shell[polyester+viscose]__lining[elastane],2
R7b_hidden_layer_mismatch,expanded,shell[polyester+wool]__lining[acetate],2
R7b_hidden_layer_mismatch,expanded,shell[polyester]__body_lining[cotton],2
R7b_hidden_layer_mismatch,expanded,shell[polyester]__inner_layer[nylon],2
R7b_hidden_layer_mismatch,expanded,shell[polyester]__inner_layer[viscose],2
R7b_hidden_layer_mismatch,expanded,shell[suede]__lining[viscose],2
R7b_hidden_layer_mismatch,expanded,shell[viscose+wool]__lining[polyester],2
R7b_hidden_layer_mismatch,expanded,upper[cotton]__inner_layer[polyester],2
R7b_hidden_layer_mismatch,expanded,base_fabric[elastane+polyester+viscose]__lining[cotton],1
R7b_hidden_layer_mismatch,expanded,coating[polyester]__lining[viscose],1
R7b_hidden_layer_mismatch,expanded,face[elastane+nylon]__padding[polyester],1
R7b_hidden_layer_mismatch,expanded,face[polyester]__padding[reprocessed down],1
R7b_hidden_layer_mismatch,expanded,main[acetate]__padding[polyester],1
R7b_hidden_layer_mismatch,expanded,main[acrylic+nylon+wool]__lining[acetate],1
R7b_hidden_layer_mismatch,expanded,main[cotton+elastane+nylon]__padding[reprocessed down],1
R7b_hidden_layer_mismatch,expanded,main[cotton+elastane+viscose]__cup_lining[nylon],1
R7b_hidden_layer_mismatch,expanded,main[cotton+elastane]__cup_lining[polyester],1
R7b_hidden_layer_mismatch,expanded,main[cotton+elastane]__lining[viscose],1
R7b_hidden_layer_mismatch,expanded,main[cotton+elastane]__padding[polyester],1
R7b_hidden_layer_mismatch,expanded,main[cotton+metallised_fibre+nylon]__lining[polyester],1
R7b_hidden_layer_mismatch,expanded,main[cotton]__inner_layer[polyester],1
R7b_hidden_layer_mismatch,expanded,main[cotton]__lining[viscose],1
R7b_hidden_layer_mismatch,expanded,main[elastane+nylon+polyester]__inner_layer[rubber],1
R7b_hidden_layer_mismatch,expanded,main[nylon+wool]__inner_layer[viscose],1
R7b_hidden_layer_mismatch,expanded,main[nylon]__lining[viscose],1
R7b_hidden_layer_mismatch,expanded,main[polyester]__padding[reprocessed down],1
R7b_hidden_layer_mismatch,expanded,main[viscose]__lining[lyocell],1
R7b_hidden_layer_mismatch,expanded,main[wool]__lining[acetate],1
R7b_hidden_layer_mismatch,expanded,outer_layer[nylon]__padding[down],1
R7b_hidden_layer_mismatch,expanded,shell[acetate+cotton+metallised_fibre]__lining[polyester],1
R7b_hidden_layer_mismatch,expanded,shell[acetate]__lining[cotton],1
R7b_hidden_layer_mismatch,expanded,shell[acrylic+cotton+nylon+polyester+wool]__lining[viscose],1
R7b_hidden_layer_mismatch,expanded,shell[acrylic+modacrylic+polyester]__lining[viscose],1
R7b_hidden_layer_mismatch,expanded,shell[acrylic+nylon+polyester+wool]__lining[viscose],1
R7b_hidden_layer_mismatch,expanded,shell[cotton+elastane+linen]__lining[acetate],1
R7b_hidden_layer_mismatch,expanded,shell[cotton+elastane+lyocell+viscose]__lining[polyester],1
R7b_hidden_layer_mismatch,expanded,shell[cotton+elastane+lyocell+wool]__padding[polyester],1
R7b_hidden_layer_mismatch,expanded,shell[cotton+elastane]__cup_lining[nylon],1
R7b_hidden_layer_mismatch,expanded,shell[cotton+elastane]__lining[nylon],1
R7b_hidden_layer_mismatch,expanded,shell[cotton+elastane]__padding[polyurethane],1
R7b_hidden_layer_mismatch,expanded,shell[cotton+elastomultiester]__lining[polyester],1
R7b_hidden_layer_mismatch,expanded,shell[cotton+linen+ramie]__lining[polyester],1
R7b_hidden_layer_mismatch,expanded,shell[cotton+linen]__lining[viscose],1
R7b_hidden_layer_mismatch,expanded,shell[cotton+linen]__padding[polyester],1
R7b_hidden_layer_mismatch,expanded,shell[cotton+metallised_fibre+nylon]__lining[polyester],1
R7b_hidden_layer_mismatch,expanded,shell[cotton+metallised_fibre+polyester]__lining[viscose],1
R7b_hidden_layer_mismatch,expanded,shell[cotton+nylon+unspecified_material+wool]__lining[viscose],1
R7b_hidden_layer_mismatch,expanded,shell[cotton+nylon]__body_lining[lyocell],1
R7b_hidden_layer_mismatch,expanded,shell[cotton+polyester]__lining[elastane],1
R7b_hidden_layer_mismatch,expanded,shell[cotton+polyester]__lining[rubber],1
R7b_hidden_layer_mismatch,expanded,shell[cotton+wool]__lining[polyester],1
R7b_hidden_layer_mismatch,expanded,shell[cotton]__body_lining[nylon],1
R7b_hidden_layer_mismatch,expanded,shell[cotton]__hood_lining[polyester],1
R7b_hidden_layer_mismatch,expanded,shell[cotton]__inner_layer[viscose],1
R7b_hidden_layer_mismatch,expanded,shell[cotton]__lining[wool],1
R7b_hidden_layer_mismatch,expanded,shell[cupro+lyocell+nylon]__lining[viscose],1
R7b_hidden_layer_mismatch,expanded,shell[elastane+linen+viscose]__lining[acetate],1
R7b_hidden_layer_mismatch,expanded,shell[elastane+metallised_fibre+nylon]__cup_lining[polyester],1
R7b_hidden_layer_mismatch,expanded,shell[elastane+nylon+polyester]__padding[reprocessed down],1
R7b_hidden_layer_mismatch,expanded,shell[elastane+nylon+viscose]__lining[cotton],1
R7b_hidden_layer_mismatch,expanded,shell[elastane+nylon]__cup_lining[polyester resin],1
R7b_hidden_layer_mismatch,expanded,shell[elastane+nylon]__padding[polyurethane],1
R7b_hidden_layer_mismatch,expanded,shell[elastane+polyester+viscose]__hood_lining[cotton],1
R7b_hidden_layer_mismatch,expanded,shell[elastane+polyester+viscose]__lining[nylon],1
R7b_hidden_layer_mismatch,expanded,shell[elastane+polyester]__cup_lining[cotton],1
R7b_hidden_layer_mismatch,expanded,shell[elastane+polyester]__inner_layer[nylon],1
R7b_hidden_layer_mismatch,expanded,shell[elastane+viscose]__lining[polyester],1
R7b_hidden_layer_mismatch,expanded,shell[elastane+wool]__lining[viscose],1
R7b_hidden_layer_mismatch,expanded,shell[lamb leather]__lining[polyester],1
R7b_hidden_layer_mismatch,expanded,shell[linen+lyocell+polyester]__inner_layer[viscose],1
R7b_hidden_layer_mismatch,expanded,shell[linen+lyocell]__body_lining[polyester],1
R7b_hidden_layer_mismatch,expanded,shell[linen+polyester+wool]__lining[cotton],1
R7b_hidden_layer_mismatch,expanded,shell[linen+polyester+wool]__lining[viscose],1
R7b_hidden_layer_mismatch,expanded,shell[linen+wool]__lining[polypropylene],1
R7b_hidden_layer_mismatch,expanded,shell[linen+wool]__sleeve_lining[viscose],1
R7b_hidden_layer_mismatch,expanded,shell[linen]__body_lining[cotton],1
R7b_hidden_layer_mismatch,expanded,shell[lyocell+nylon]__lining[viscose],1
R7b_hidden_layer_mismatch,expanded,shell[lyocell+nylon]__padding[polyester],1
R7b_hidden_layer_mismatch,expanded,shell[lyocell+ramie]__lining[cotton],1
R7b_hidden_layer_mismatch,expanded,shell[metallised_fibre+polyester]__lining[elastane],1
R7b_hidden_layer_mismatch,expanded,shell[modacrylic+polyester]__lining[cotton],1
R7b_hidden_layer_mismatch,expanded,shell[modal+nylon]__lining[polyester],1
R7b_hidden_layer_mismatch,expanded,shell[nylon+polyester]__padding[down],1
R7b_hidden_layer_mismatch,expanded,shell[nylon+polyester]__padding[reprocessed down],1
R7b_hidden_layer_mismatch,expanded,shell[nylon+polypropylene+wool]__lining[viscose],1
R7b_hidden_layer_mismatch,expanded,shell[nylon+unspecified_material+wool]__lining[cotton],1
R7b_hidden_layer_mismatch,expanded,shell[nylon+unspecified_material+wool]__padding[polyester],1
R7b_hidden_layer_mismatch,expanded,shell[nylon+wool]__padding[polyester],1
R7b_hidden_layer_mismatch,expanded,shell[nylon]__inner_layer[elastane],1
R7b_hidden_layer_mismatch,expanded,shell[nylon]__skirt_lining[polyester],1
R7b_hidden_layer_mismatch,expanded,shell[polyester+unspecified_material+wool]__body_lining[viscose],1
R7b_hidden_layer_mismatch,expanded,shell[polyester+wool]__lining[lyocell],1
R7b_hidden_layer_mismatch,expanded,shell[polyester]__lining[metallised_fibre],1
R7b_hidden_layer_mismatch,expanded,shell[polyester]__padding[acrylic],1
R7b_hidden_layer_mismatch,expanded,shell[polyester]__padding[down],1
R7b_hidden_layer_mismatch,expanded,shell[polyurethane]__lining[paper],1
R7b_hidden_layer_mismatch,expanded,shell[viscose]__inner_layer[polyester],1
R7b_hidden_layer_mismatch,expanded,shell[viscose]__lining[lyocell],1
R7b_hidden_layer_mismatch,expanded,shell[wool]__lining[acetate],1
R7b_hidden_layer_mismatch,expanded,shell[wool]__lining[cotton],1
R7b_hidden_layer_mismatch,expanded,shell[wool]__padding[polyester],1
R8_presence,conservative,pocket_lining,4258
R8_presence,conservative,top_panel,219
R8_presence,conservative,mesh,185
R8_presence,conservative,bottom_panel,118
R8_presence,conservative,front_panel,102
R8_presence,conservative,pocket_fabric,65
R8_presence,conservative,back_panel,46
R8_presence,conservative,wing,45
R8_presence,conservative,pocket lining,33
R8_presence,conservative,woven_part,22
R8_presence,conservative,inside_panel,9
R8_presence,conservative,side_panel,8
R8_presence,conservative,chest_pocket_fabric,7
R8_presence,conservative,knit_part,5
R8_presence,conservative,contrast-fabric,2
R8_presence,default,pocket_lining,4258
R8_presence,default,top_panel,219
R8_presence,default,mesh,185
R8_presence,default,bottom_panel,118
R8_presence,default,front_panel,102
R8_presence,default,pocket_fabric,65
R8_presence,default,back_panel,46
R8_presence,default,wing,45
R8_presence,default,pocket lining,33
R8_presence,default,woven_part,22
R8_presence,default,inside_panel,9
R8_presence,default,side_panel,8
R8_presence,default,chest_pocket_fabric,7
R8_presence,default,knit_part,5
R8_presence,default,contrast-fabric,2
R8_presence,expanded,pocket_lining,4258
R8_presence,expanded,yoke,366
R8_presence,expanded,top_panel,219
R8_presence,expanded,mesh,185
R8_presence,expanded,bottom_panel,118
R8_presence,expanded,front_panel,102
R8_presence,expanded,pocket_fabric,65
R8_presence,expanded,back_panel,46
R8_presence,expanded,wing,45
R8_presence,expanded,insert,36
R8_presence,expanded,pocket lining,33
R8_presence,expanded,woven_part,22
R8_presence,expanded,inset,9
R8_presence,expanded,inside_panel,9
R8_presence,expanded,side_panel,8
R8_presence,expanded,chest_pocket_fabric,7
R8_presence,expanded,knit_part,5
R8_presence,expanded,contrast-fabric,2
R8b_secondary_material_difference,conservative,shell[cotton]__pocket_lining[polyester],983
R8b_secondary_material_difference,conservative,body[cotton]__pocket_lining[polyester],473
R8b_secondary_material_difference,conservative,shell[viscose]__pocket_lining[polyester],214
R8b_secondary_material_difference,conservative,shell[nylon]__pocket_lining[polyester],90
R8b_secondary_material_difference,conservative,body[elastomultiester]__pocket_lining[polyester],69
R8b_secondary_material_difference,conservative,body[viscose]__pocket_lining[polyester],65
R8b_secondary_material_difference,conservative,body[nylon]__pocket_lining[polyester],63
R8b_secondary_material_difference,conservative,body[polyester]__pocket_lining[cotton],58
R8b_secondary_material_difference,conservative,shell[linen]__pocket_lining[polyester],58
R8b_secondary_material_difference,conservative,shell[polyester]__mesh[nylon],56
R8b_secondary_material_difference,conservative,shell[polyester]__pocket_lining[cotton],54
R8b_secondary_material_difference,conservative,face[nylon]__pocket_lining[polyester],53
R8b_secondary_material_difference,conservative,shell[linen]__pocket_lining[cotton],47
R8b_secondary_material_difference,conservative,lining[polyester]__top_panel[cotton],28
R8b_secondary_material_difference,conservative,body[nylon]__mesh[polyester],27
R8b_secondary_material_difference,conservative,shell[cotton]__bottom_panel[polyester],27
R8b_secondary_material_difference,conservative,shell[wool]__pocket_lining[polyester],23
R8b_secondary_material_difference,conservative,top_panel[cotton]__bottom_panel[polyester],21
R8b_secondary_material_difference,conservative,main[cotton]__pocket_lining[polyester],19
R8b_secondary_material_difference,conservative,lining[cotton]__bottom_panel[polyester],18
R8b_secondary_material_difference,conservative,shell[polyester]__pocket_lining[nylon],17
R8b_secondary_material_difference,conservative,shell[viscose]__pocket_lining[cotton],17
R8b_secondary_material_difference,conservative,shell[lyocell]__pocket_lining[polyester],16
R8b_secondary_material_difference,conservative,body[linen]__pocket_lining[polyester],15
R8b_secondary_material_difference,conservative,coating[polyurethane]__pocket_lining[polyester],14
R8b_secondary_material_difference,conservative,shell[cotton]__mesh[nylon],13
R8b_secondary_material_difference,conservative,shell[lyocell]__pocket_lining[cotton],13
R8b_secondary_material_difference,conservative,face[polyester]__back_panel[tpu],12
R8b_secondary_material_difference,conservative,shell[nylon]__pocket_fabric[polyester],12
R8b_secondary_material_difference,conservative,shell[cotton]__mesh[polyester],10
R8b_secondary_material_difference,conservative,shell[modal]__pocket_lining[polyester],10
R8b_secondary_material_difference,conservative,shell[wool]__pocket_lining[cotton],10
R8b_secondary_material_difference,conservative,main[linen]__pocket_lining[polyester],9
R8b_secondary_material_difference,conservative,shell[cotton]__wing[nylon],9
R8b_secondary_material_difference,conservative,main[polyester]__pocket_lining[cotton],8
R8b_secondary_material_difference,conservative,main[viscose]__pocket_lining[polyester],8
R8b_secondary_material_difference,conservative,shell[cotton]__pocket_fabric[polyester],8
R8b_secondary_material_difference,conservative,shell[polyester]__bottom_panel[nylon],8
R8b_secondary_material_difference,conservative,body[cotton]__back_panel[polyester],6
R8b_secondary_material_difference,conservative,face[nylon]__back_panel[polyester],6
R8b_secondary_material_difference,conservative,shell[nylon]__pocket_lining[cotton],6
