Indicator,Rule boundary,All portals pooled,H&M Australia,H&M Great Britain,Uniqlo Australia,Uniqlo UK
Any removable-hardware indicator (R1–R3),Conservative,21.48689028239552,23.10015451608372,24.04336972316405,8.0,6.712707182320441
Any removable-hardware indicator (R1–R3),Default,27.191616514456463,28.725944655148194,29.635977495435746,13.592920353982302,13.646408839779006
Any removable-hardware indicator (R1–R3),Expanded,42.38037119649846,43.826380109565946,46.68951898356869,21.946902654867255,20.69060773480663
Any retained-barrier indicator (R4–R8),Conservative,39.86153781406506,41.97218710493047,38.745854912627145,37.34513274336283,41.79558011049724
Any retained-barrier indicator (R4–R8),Default,44.93918606119271,46.24244978227279,43.082827229032375,48.56637168141593,50.74585635359116
Any retained-barrier indicator (R4–R8),Expanded,52.53987626783384,50.56890012642224,53.52658444800477,52.70796460176991,52.84530386740332
Any core disruptor indicator (R1–R8),Conservative,48.916291401877025,51.36255092007305,49.20078989530161,40.0,44.14364640883978
Any core disruptor indicator (R1–R8),Default,55.094482555447996,56.39837055766259,55.080293602593244,50.93805309734514,53.31491712707182
Any core disruptor indicator (R1–R8),Expanded,69.55304911409452,68.90714988060121,72.72625656693617,58.01769911504425,57.569060773480665
R1 Metal-specified/conventional hardware,Conservative,5.498505955136569,6.510745891276865,6.158947799843512,0.42477876106194695,0.5801104972375691
R1 Metal-specified/conventional hardware,Default,12.419510963343294,13.787048742800955,14.266552405082155,1.5221238938053097,1.8508287292817678
R1 Metal-specified/conventional hardware,Expanded,12.4952653507849,13.899424076415226,14.341070829762659,1.5221238938053097,1.8508287292817678
R2 Plastic-specified hardware,Conservative,0.2903918185261563,0.1404691670178396,0.19002198293528075,1.1327433628318584,0.9668508287292817
R2 Plastic-specified hardware,Default,0.2903918185261563,0.1404691670178396,0.19002198293528075,1.1327433628318584,0.9668508287292817
R2 Plastic-specified hardware,Expanded,0.2903918185261563,0.1404691670178396,0.19002198293528075,1.1327433628318584,0.9668508287292817
R3 Material-ambiguous hardware,Conservative,19.11746138630529,19.918527883129652,21.59171355117553,7.893805309734512,6.3812154696132595
R3 Material-ambiguous hardware,Default,21.629981903118555,23.88678185138362,22.66477886657476,12.530973451327435,12.182320441988951
R3 Material-ambiguous hardware,Expanded,38.09393544042759,40.391908975979774,41.1863333209136,20.991150442477878,19.475138121546962
R4 Fabric attached trim,Conservative,17.21308025756492,19.040595589268154,16.159320391966915,16.8141592920354,18.14917127071823
R4 Fabric attached trim,Default,19.868692395101217,19.946621716533222,17.496926114981928,30.761061946902657,28.646408839779003
R4 Fabric attached trim,Expanded,30.29333782248222,27.110549234443038,31.808189574872387,32.49557522123894,29.861878453038678
R5 Decorative/non-textile attachment,Conservative,1.1531501199444467,1.1448237111953925,1.423301911397593,0.10619469026548674,0.0
R5 Decorative/non-textile attachment,Default,1.9885526703421572,1.9314510464952943,2.4777376206267,0.10619469026548674,0.05524861878453039
R5 Decorative/non-textile attachment,Expanded,1.9885526703421572,1.9314510464952943,2.4777376206267,0.10619469026548674,0.05524861878453039
R6 Surface print/coating barrier,Conservative,1.9864483818021128,1.4749262536873156,1.4158500689295428,4.778761061946903,6.0497237569060776
R6 Surface print/coating barrier,Default,3.089095576785489,2.7461722151987638,2.3324266924997206,6.548672566371681,7.348066298342541
R6 Surface print/coating barrier,Expanded,4.22120281132949,4.263239218991431,3.532173329855807,6.548672566371681,7.348066298342541
R7 Lining/multilayer presence,Conservative,18.888093935440427,20.97907009411434,20.02682663288498,9.876106194690266,9.25414364640884
R7 Lining/multilayer presence,Default,22.978830857287154,25.57943531394859,23.715488654569842,13.769911504424778,14.475138121546962
R7 Lining/multilayer presence,Expanded,24.42026850721771,26.65402444163506,24.93013897686203,17.699115044247787,17.099447513812155
R7b Hidden-layer mismatch diagnostic,Conservative,8.60654012878246,8.990026689141734,8.808077797235367,6.654867256637168,7.12707182320442
R7b Hidden-layer mismatch diagnostic,Default,8.160430958293,8.463267312824835,8.178397108685122,6.9734513274336285,7.76243093922652
R7b Hidden-layer mismatch diagnostic,Expanded,8.160430958293,8.463267312824835,8.178397108685122,6.9734513274336285,7.76243093922652
R8 Secondary-component presence,Conservative,10.782374479188586,9.095378564405113,7.634412608517456,26.902654867256636,28.176795580110497
R8 Secondary-component presence,Default,10.782374479188586,9.095378564405113,7.634412608517456,26.902654867256636,28.176795580110497
R8 Secondary-component presence,Expanded,11.647237069146922,10.04354544177553,8.610603971832036,27.04424778761062,28.45303867403315
R8b Secondary-component mismatch diagnostic,Conservative,6.11085392028955,4.902373928922602,4.199113230746302,14.300884955752213,18.646408839779006
R8b Secondary-component mismatch diagnostic,Default,5.8877993350448214,5.014749262536873,4.158128097172026,12.0,17.375690607734807
R8b Secondary-component mismatch diagnostic,Expanded,5.8877993350448214,5.014749262536873,4.158128097172026,12.0,17.375690607734807
