Analytical boundary,Units (n),Any removable - Conservative,Any removable - Default,Any removable - Expanded,Any retained - Conservative,Any retained - Default,Any retained - Expanded,Any overall - Conservative,Any overall - Default,Any overall - Expanded
All portals pooled: colour variants,47522,21.48689028239552,27.191616514456463,42.38037119649846,39.86153781406506,44.93918606119271,52.53987626783384,48.916291401877025,55.094482555447996,69.55304911409452
H&M Australia,14238,23.10015451608372,28.725944655148194,43.826380109565946,41.97218710493047,46.24244978227279,50.56890012642224,51.36255092007305,56.39837055766259,68.90714988060121
H&M Great Britain,26839,24.04336972316405,29.635977495435746,46.68951898356869,38.745854912627145,43.082827229032375,53.52658444800477,49.20078989530161,55.080293602593244,72.72625656693617
Uniqlo Australia,2825,8.0,13.592920353982302,21.946902654867255,37.34513274336283,48.56637168141593,52.70796460176991,40.0,50.93805309734514,58.01769911504425
Uniqlo UK,3620,6.712707182320441,13.646408839779006,20.69060773480663,41.79558011049724,50.74585635359116,52.84530386740332,44.14364640883978,53.31491712707182,57.569060773480665
Distinct products: at least one flagged variant,19173,24.571011317999268,31.074949147238307,48.849945235487404,43.50910134042664,48.333594116726644,56.91336775674125,52.845146821050434,58.942262556720394,74.93871590257133
